year,birth,total
1946,1009,
1947,1122,
1948,1139,
1949,1275,54167
1950,2023,55196
1951,2063,56300
1952,2105,57482
1953,2215,58796
1954,2245,60266
1955,1978,61465
1956,1976,62828
1957,2167,64653
1958,1905,65994
1959,1647,67207
1960,1389,66207
1961,1188,65859
1962,2460,67296
1963,2954,69172
1964,2729,70499
1965,2704,72538
1966,2577,74542
1967,2563,76368
1968,2757,78534
1969,2715,80671
1970,2736,82992
1971,2567,85229
1972,2566,87177
1973,2463,89211
1974,2235,90859
1975,2109,92420
1976,1853,93717
1977,1787,94974
1978,1745,96259
1979,1727,97542
1980,1779,98705
1981,2069,100072
1982,2238,101654
1983,2058,103008
1984,2055,104357
1985,2202,105851
1986,2384,107507
1987,2522,109300
1988,2457,111026
1989,2407,112704
1990,2391,114333
1991,2258,115823
1992,2119,117171
1993,2126,118517
1994,2104,119850
1995,2063,121121
1996,2067,122389
1997,2038,123626
1998,1942,124761
1999,1834,125786
2000,1771,126743
2001,1702,127627
2002,1647,128453
2003,1599,129227
2004,1593,129988
2005,1617,130756
2006,1584,131448
2007,1594,132129
2008,1608,133126
2009,1591,133450
2010,1592,134091
2011,1604,134916
2012,1635,135922
2013,1640,136726
2014,1687,137646
2015,1655,138326
2016,1786,139232
2017,1723,140011
2018,1523,140541
2019,1465,141008
2020,1202,141212
2021,1062,141260
2022,956,141175
2023,902,141236
